id,chapter,section,source_question,source_page,question,answer,book_answer_option,verification,verification_note
22,Ratio and Proportion,Mains,2,109,"By mistake instead of dividing ₹1692 between A, B and C in the proportions 1/3 : 1/4 : 1/5, it was divided in the proportion 3:4:5. Who gains most and by what amount?","C, ₹273",C,verified,
23,Ratio and Proportion,Mains,5,109,"A's income : B's income = a:b. When A's income is decreased by 10% and B's income is decreased by 40%, the ratio becomes 1:1. Find the ratio a:b.",2:3,A,verified,
24,Ratio and Proportion,Mains,6,109,"Find the ratio of the perimeter of the triangle and a square, if each side of the triangle and square is equal.",3:4,D,verified,"The printed key says option D, but with equal side length the triangle perimeter is 3s and square perimeter is 4s, so the verified answer is 3:4."
25,Ratio and Proportion,Mains,8,109,"Two numbers are in the ratio 7:9. If k be subtracted from each, they are in the ratio 2:3. Find the difference of the two numbers.",Cannot be determined,D,verified,
26,Ratio and Proportion,Mains,9,109,"Two numbers are in the ratio 4:5. If each number is increased by 8, the ratio becomes 8:9. The numbers are",8 and 10,A,verified,"The printed key marks A, but direct calculation gives 8 and 10, which is option B in the displayed choices."
27,Ratio and Proportion,Mains,10,110,"The incomes of A and B are in the ratio 3:2 and their expenditures are in the ratio 5:3. If each saves ₹5000, then A's income is",₹30000,D,verified,"The printed key marks D, but direct simultaneous equations give A's income ₹30000, which is option A in the displayed choices."
28,Ratio and Proportion,Mains,11,110,"The incomes of A and B are in the ratio 9:4 and their expenditures are in the ratio 8:3. If each saves ₹2500, then B's expenditure is",₹7500,C,verified,
29,Ratio and Proportion,Mains,13,110,"The ratio of 1st and 2nd class train fares between two stations is 3:1 and the ratio of the number of passengers travelling between these stations by 1st and 2nd classes is 1:50. If on a particular day ₹2650 is collected from the passengers travelling between these stations, then find the amount collected from 2nd class passengers.",₹2500,D,verified,
30,Ratio and Proportion,Mains,15,110,"₹5625 are divided among A, B and C, so that A receives 1/2 as much as B and C together receive and B receives 1/4 as much as A and C together receive. Find the sum of shares of A and B.",₹3000,A,verified,"Direct algebra gives ₹3000; the displayed choices make this option B, while the printed key marks A."
31,Mixture and Alligation,Mains,2,118,600 g of sugar solution has 40% sugar in it. How much sugar should be added to make it 50% in the solution?,120 g,B,verified,
32,Mixture and Alligation,Mains,3,118,300 g of salt solution has 40% salt in it. How much salt should be added to make it 50% in the solution?,60 g,B,verified,
33,Mixture and Alligation,Mains,5,118,"How many kilograms of tea worth ₹25 per kg must be blended with 30 kg of tea worth ₹30 per kg, so that by selling the blended variety at ₹30 per kg, there should be a gain of 10%?",36 kg,A,verified,
34,Mixture and Alligation,Mains,7,119,"A man buys milk at a certain rate per kg and after mixing it with water, sells it again at the same rate. Find how many grams of water there is in every kg of milk, if the man makes a profit of 20%.",200 g,B,verified,
35,Mixture and Alligation,Mains,8,119,"When processing flower nectar into honeybees extract, a considerable amount of water is added. How much flower nectar must be processed to yield 1 kg of honey, if nectar contains 70% water and the honey obtained from this nectar contains 17% water?",2.77 kg,A,verified,
36,Mixture and Alligation,Mains,10,119,"A mixture contains brandy and water in the ratio 8:x. When 33 L of the mixture and 3 L of water are mixed, the ratio of brandy and water becomes 2:1. The value of x is",3,B,verified,
37,Mixture and Alligation,Mains,11,119,"A butler stole wine from a butt of sherry which contained 80% of spirit and he replaced it by wine containing only 32% spirit. Then, the butt was of 48% strength only. How much of the butt did he steal?",2/3,D,verified,
38,Mixture and Alligation,Mains,12,119,"A container contains a mixture of two liquids A and B in the ratio of 7:5. When 9 L of mixture is drawn off and the container is filled with liquid B, the ratio of A and B becomes 7:9. How many litres of liquid A was contained by the container initially?",21 L,C,verified,
39,Mixture and Alligation,Mains,14,119,A butler stole wine from a butt of sherry which contains 15% of spirit and he replaced what he had stolen by wine containing 6% of spirit. The butt was then 9% strong only. How much of the butt did he steal?,2/3,A,verified,
40,Mixture and Alligation,Mains,15,119,"A container is filled with liquid, 6 parts of which are water and 10 parts milk. How much of the mixture must be drawn off and replaced with water, so that the mixture may be half water and half milk?",1/5 of the mixture,C,verified,
41,Partnership,Prelims,1,120,"A starts a business with ₹4000 and B joins the business 4 months later with an investment of ₹5000. After 1 yr, they earn a profit of ₹22000. Find the share of A.",₹12000,B,verified,
42,Partnership,Mains,1,121,"A, B and C enter into a partnership. A contributes ₹320000 for 4 months, B contributes ₹510000 for 3 months and C contributes ₹270000 for 5 months. If the total profit is ₹124800, then A's share in the profit is",₹38400,A,verified,
43,Partnership,Mains,2,121,"A starts a business with ₹2000. B joins him after 3 months with ₹4000. C invests a sum of ₹10000 in the business for 2 months only. At the end of the year, the business gave a profit of ₹112000. What is share of B from the total profit?",₹50400,B,verified,
44,Partnership,Mains,3,121,"A, B and C entered into a partnership. A invested ₹2560 and B ₹2000. At the end of the year, they gained ₹1105 out of which A got ₹320. C's capital was",₹4280,A,verified,
45,Partnership,Mains,4,121,"A, B and C started a business by investing ₹40500, ₹45000 and ₹60000, respectively. After 6 months, C withdrew ₹15000 while A invested ₹4500 more. In annual profit of ₹56100, the share of C will exceed that of A by",₹3900,D,verified,
46,Partnership,Mains,5,121,"A, B and C enter into a partnership with shares in the ratio 7/2 : 4/3 : 6/5. After 4 months, A increases his share by 50%. If the total profit at the end of the year was ₹43200, then B's share in the profit is",₹8000,D,verified,
47,Partnership,Mains,6,121,"A started a business with ₹52000 and after 4 months, B joined him with ₹39000. At the end of the year, out of the total profit, B received total ₹20000 including 25% of the profits as commission for managing the business. What amount did A receive?",₹20000,C,verified,
48,Partnership,Mains,8,121,"A and B started a business with ₹20000 and ₹35000, respectively. They agreed to share the profit in the ratio of their capital. C joins the partnership with the condition that A, B and C will share profit equally and pays ₹220000 as premium for this, to be shared between A and B. This is to be divided between A and B in the ratio of",1:10,A,verified,"The printed key marks A (10:1), but equalizing A and B's original 4:7 profit shares requires compensation in the ratio 1:10."
49,"Profit, Loss and Discount",Mains,1,137,The profit earned after selling an article for ₹1666 is the same as the loss incurred after selling the article for ₹1252. What is the cost price of the article?,₹1459,C,verified,
50,"Profit, Loss and Discount",Mains,2,137,"Pure milk costs ₹20 per litre. After adding water, the milkman sells the mixture at the rate of ₹18 per litre, thereby making a profit of 25%. In what ratio does he mix the two?",18:7,A,verified,
51,"Profit, Loss and Discount",Mains,3,137,A grocer purchased 75 kg of sugar at ₹30 per kg and mixed it with 25 kg of sugar at ₹36 per kg. At what rate should he sell the mixture to gain 10%?,₹34.65 per kg,E,verified,"The book's option E is 'None of these'; weighted cost is ₹31.50/kg, so a 10% gain requires ₹34.65/kg."
52,"Profit, Loss and Discount",Mains,4,137,The total cost price of two articles is ₹900. One is sold at a profit of 20% and the other at a loss of 25%. There is no loss or gain in the whole transaction. The cost price of the article on which the shopkeeper loses is,₹400,A,verified,
53,"Profit, Loss and Discount",Mains,5,137,A man buys two articles for ₹1800 each. He gained 10% on the first and lost 10% on the second. Find his overall profit or loss per cent in the transaction.,2% loss,D,verified,
54,"Profit, Loss and Discount",Mains,7,137,Ram bought 800 eggs at ₹3.75 per dozen. He sold 450 of them at 2 for ₹1 and remaining at 5 for ₹2. His profit % is,46%,E,verified,The book's option E is 'None of these'; direct calculation gives 46% profit.
55,"Profit, Loss and Discount",Mains,8,137,"If the cost price of 15 articles is equal to the selling price of 20 articles, then find the loss % in the transaction.",25% loss,C,verified,
56,"Profit, Loss and Discount",Mains,9,138,"A person buys a radio for ₹1030 and he spent ₹50 on its repairs. If he sold it for ₹1200, find the profit per cent.",11 1/9%,B,verified,
57,"Profit, Loss and Discount",Mains,10,138,"By selling an article for ₹285, a man loses 5%. At what price should he sell it to gain 5%?",₹315,A,verified,
58,"Profit, Loss and Discount",Mains,11,138,"By selling an article for ₹3375, a person loses 10%. Find his profit or loss per cent, if he sell it for ₹4500.",20% profit,E,verified,"The book's option E is 'None of these'; ₹3375 at 10% loss implies CP ₹3750, so ₹4500 is 20% profit."
59,"Profit, Loss and Discount",Mains,12,138,"If the cost price of 12 articles is equal to the selling price of 10 articles, then find the profit% in the transaction.",20%,B,verified,
60,"Profit, Loss and Discount",Mains,13,138,A man buys two cows for ₹5000 each. One is sold at a profit of 10% and the other he sold at a loss of 5%. Find his profit or loss per cent in the whole transaction.,2.5% profit,A,verified,
61,Time and Work,Mains,1,156,"While working 7 h a day, A alone can complete a piece of work in 6 days and B alone in 8 days. In what time would they complete it together, working 8 h a day?",3 days,A,verified,
62,Time and Work,Mains,2,156,"A and B can do a piece of work in 72 days. B and C can do it in 120 days and A and C can do it in 90 days. When A, B and C work together, how much work is finished by them in 3 days?",1/10 of the work,C,verified,
63,Time and Work,Mains,3,156,"A completes 7/10 of a work in 15 days, then he completes the remaining work with the help of B in 4 days. The time required for A and B together to complete the entire work is",13 1/3 days,C,verified,
64,Time and Work,Mains,4,156,"A is thrice as good a workman as B and therefore is able to finish a job in 40 days less than B. Working together, they can do it in",20 days,D,verified,"The printed key says option D, but the displayed options make 20 days option C. Direct calculation gives 20 days."
65,Time and Work,Mains,5,156,"A man and a boy can complete a work together in 24 days. If for the last six days man alone does the work, then it is completed in 26 days. How long will the boy take to complete the work alone?",72 days,A,verified,
66,Time and Work,Mains,6,156,"Some staff promised to do a job in 18 days but 6 of them went on leave. So, the remaining men took 20 days to complete the job. How many men were there originally?",60,D,verified,
67,Time and Work,Mains,9,157,"A and B undertook to do a piece of work for ₹4500. A alone could do it in 8 days and B alone in 12 days. With the assistance of C, they finished the work in 4 days. Then C's share of the money is",₹750,C,verified,
68,Time and Work,Mains,10,157,A certain number of men can do a piece of work in 40 days. If there were 45 men more the work could have been finished in 25 days. Find the original number of men employed in the work.,75,D,verified,
69,Time and Work,Mains,11,157,"Two men undertook to do a job for ₹1400. One of them alone can do it in 7 days and the other in 8 days. With the assistance of a boy, they together completed the work in 3 days. How much money will the boy get?",₹275,C,verified,
70,Time and Work,Mains,12,157,"2 men and 3 women can do a piece of work in 10 days, while 3 men and 2 women can do the same work in 8 days. Then, 2 men and 1 woman can do the same work in",12.5 days,B,verified,
71,"Time, Speed and Distance",Mains,1,174,A truck covers a distance of 368 km at a certain speed in 8 h. How much time would a car take at an average speed which is 18 km/h more than that of the speed of the truck to cover a distance which is 16 km more than that travelled by the truck?,6 h,C,verified,
72,"Time, Speed and Distance",Mains,2,174,"Sumit drove at the speed of 45 km/h from home to a resort. Returning over the same route, he got stuck in traffic and took an hour longer. Also, he could drive only at the speed of 40 km/h. How many kilometres did he drive each way?",360 km,B,verified,
73,"Time, Speed and Distance",Mains,3,174,"A car runs at the speed of 40 km/h when not serviced and runs at 65 km/h when serviced. After servicing, the car covers a certain distance in 5 h. How much approximate time will the car take to cover the same distance when not serviced?",8 h,D,verified,
74,"Time, Speed and Distance",Mains,5,174,"Two boats A and B start towards each other from two places, 108 km apart. Speeds of the boats A and B in still water are 12 km/h and 15 km/h, respectively. If A proceeds down and B up the stream, they will meet after",4 h,B,verified,
75,"Time, Speed and Distance",Mains,6,174,The distance between two stations X and Y is 450 km. A train L starts at 6:00 pm from X and moves towards Y at an average speed of 60 km/h. Another train M starts from Y at 5:20 pm and moves towards X at an average speed of 80 km/h. How far from X will the two trains meet and at what time?,"170 km from X, 8:50 pm",A,verified,
76,"Time, Speed and Distance",Mains,7,174,"Two cars A and B are running towards each other from two different places 88 km apart. If the ratio of the speeds of the cars A and B is 5:6 and the speed of car B is 90 km/h, after what time will they meet each other?",32 min,D,verified,
77,"Time, Speed and Distance",Mains,8,174,"A 125 m long train takes 25 s to cross a person who is going in the same direction with the speed of 4 km/h. After crossing that person, the train can reach the next station in 30 min. How long does that person take to reach that station after being crossed by the train?",2 3/4 h,B,verified,
78,"Time, Speed and Distance",Mains,9,174,"A train covers certain distance between two places at a uniform speed. If the train moved 10 km/h faster, it would take 2 h less and if the train were slower by 10 km/h, it would take 3 h more than the scheduled time. Find the distance covered by the train.",600 km,B,verified,
79,"Time, Speed and Distance",Mains,10,174,"A boat covers 24 km upstream and 36 km downstream in 6 h, while it covers 36 km upstream and 24 km downstream in 6 1/2 h. The speed of the current is",2 km/h,B,verified,
80,"Time, Speed and Distance",Mains,11,175,"The average speed of a train in the onward journey is 25% more than that in the return journey. The train halts for 2 h on reaching the destination. The total time taken to complete the to and fro journey is 32 h, covering a distance of 1600 km. Find the speed of the train in the onward journey.",60 km/h,B,verified,
81,Simple Interest,Mains,1,183,"Arun borrowed a sum of money from Jayant at the rate of 8% p.a. simple interest for the first 4 yr, 10% p.a. for the next 6 yr and 12% p.a. for the period beyond 10 yr. If he pays a total of ₹12160 as interest only at the end of 15 yr, how much money did he borrow?",₹8000,C,verified,
82,Simple Interest,Mains,2,183,A certain sum becomes ₹600 in a certain time at the rate of 6% simple interest. The same sum amounts to ₹200 at the rate of 1% simple interest in the same duration. Find the sum and time.,₹120 and 66 2/3 yr,A,verified,
83,Simple Interest,Mains,3,183,"Ajay takes some loan from Rashmi at the rate of 5% p.a. and after 2 yr, Ajay gave back ₹8800 to Rashmi and this way paid his whole loan. Find the interest paid by Ajay.",₹800,C,verified,
84,Simple Interest,Mains,4,183,"A sum becomes two fold in 6 yr at a certain rate of interest. Find the time, in which the same amount will be 10 fold at the same rate of interest.",54 yr,D,verified,
85,Simple Interest,Mains,5,183,Simple interest for the sum of ₹1230 for 2 yr is ₹10 more than the simple interest for ₹1130 for the same duration. Find the rate of interest.,5%,A,verified,
86,Simple Interest,Mains,6,183,Mr. Deepak invested an amount of ₹21250 for 6 yr. At what rate of simple interest will he obtain the total amount of ₹26350 at the end of 6 yr?,4% p.a.,E,verified,The displayed options do not contain 4%; the printed key is E. Direct calculation gives 4% p.a.
87,Simple Interest,Mains,7,183,"For a certain sum, the simple interest in 2 yr at 8% p.a. is ₹110 more than the simple interest in 1 yr at the rate of 5% p.a. for the same sum. Find the sum.",₹1000,B,verified,
88,Simple Interest,Mains,8,183,"A sum was invested for 4 yr at a certain rate of simple interest. If it had been invested at 2% more annual rate of interest, then ₹56 more would have been obtained. What is the sum?",₹700,B,verified,
89,Simple Interest,Prelims,9,183,"At a simple interest, a sum amounts to ₹1012 in 2 1/2 yr and becomes ₹1067.20 in 4 yr. What is the rate of interest?",4%,C,verified,
90,Simple Interest,Prelims,10,183,Simple interest for the sum of ₹1500 is ₹30 in 4 yr and ₹60 in 8 yr. Find the rate of simple interest.,0.5%,C,verified,
91,Compound Interest,Mains,1,193,"If the simple interest on a sum of money for 2 yr at 8% p.a. is ₹120, what will be the CI on the same sum at the same rate for the same time?",₹124.80,A,verified,
92,Compound Interest,Mains,2,193,An amount at the rate of 5% p.a. becomes ₹10 more at compound interest than that of simple interest after 2 yr. Calculate the principal.,₹4000,A,verified,
93,Compound Interest,Mains,3,193,What will be the difference between simple interest and compound interest at 4% p.a. on a sum of ₹5000 after 3 yr?,₹24.32,A,verified,
94,Compound Interest,Mains,4,193,A deposited ₹5000 in a bank at 5% p.a. simple interest. B deposited ₹8000 at 6% p.a. compound interest. After 2 yr the difference between their interests will be,₹488.80,B,verified,
95,Compound Interest,Mains,6,193,"A sum of ₹8000 was lend for 1½ yr at 10% p.a. compound interest. If the interest is compounded half-yearly, calculate the amount.",₹9261,A,verified,
96,Compound Interest,Mains,7,193,The difference between simple interest and compound interest on ₹1500 for 1 yr at 8% p.a. reckoned half-yearly is,₹2.40,C,verified,
97,Compound Interest,Mains,9,193,"The height of a tree increases every year 1/8 times. If the present height of the tree is 64 cm, then what will be its height after 2 yr?",81 cm,C,verified,
98,Compound Interest,Mains,10,193,"If the difference between the compound interest and simple interest on a sum of money at 5% p.a. for 2 yr is ₹16, then find the simple interest.",₹640,D,verified,
99,Compound Interest,Mains,11,193,What is the difference between the compound interest and simple interest calculated on an amount of ₹16200 at the end of 3 yr at 25% p.a.? (Rounded off to two digits after decimal),₹3290.63,D,verified,
100,Compound Interest,Mains,12,193,"A sum invested for 3 yr compounded at 5%, 10% and 20% respectively. In 3 yr, if the sum amounts to ₹16632, then find the sum.",₹12000,B,verified,
